JavaFile,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
hadoop-common-project/hadoop-auth/src/main/java/org/apache/hadoop/security/authentication/server/AuthenticationFilter.java,3,3,3,1,22,0,14,6,2,2,12,24,24,22,10,24,0,0,16,8,696,53,404,124,249,241,182,260,105,155,20,20,26,4,4,0.6,77,77,90,30
hadoop-common-project/hadoop-auth/src/main/java/org/apache/hadoop/security/authentication/server/AuthenticationHandler.java,0,0,0,0,0,0,0,0,1,0,0,0,5,5,1,5,0,0,0,5,117,11,19,18,1,87,13,14,14,0,0,0,0,0,0,4.58,0,0,0,0
hadoop-common-project/hadoop-auth/src/main/java/org/apache/hadoop/security/authentication/server/AuthenticationHandlerUtil.java,2,2,2,1,17,0,9,7,1,3,0,4,4,1,0,4,0,1,0,3,105,12,45,14,26,48,21,33,13,20,5,5,5,4,1,1.07,11,11,11,7
hadoop-common-project/hadoop-auth/src/main/java/org/apache/hadoop/security/authentication/server/AuthenticationToken.java,1,1,1,1,8,0,3,5,1,1,1,7,7,6,0,7,0,2,0,5,107,12,35,14,12,60,15,25,14,11,2,2,2,1,1,1.71,9,9,9,7
hadoop-common-project/hadoop-auth/src/main/java/org/apache/hadoop/security/authentication/server/CompositeAuthenticationHandler.java,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,30,2,5,4,0,23,3,4,4,0,0,0,0,0,0,4.6,0,0,0,0
hadoop-common-project/hadoop-auth/src/main/java/org/apache/hadoop/security/authentication/server/HttpConstants.java,1,1,1,1,6,0,2,4,1,0,5,1,1,1,0,1,0,1,0,0,55,8,10,8,5,37,6,8,8,0,1,1,1,1,0,3.7,1,1,1,1
hadoop-common-project/hadoop-auth/src/main/java/org/apache/hadoop/security/authentication/server/JWTRedirectAuthenticationHandler.java,3,3,4,1,25,0,17,7,1,0,6,10,10,10,4,10,1,1,5,3,357,22,217,80,138,118,112,154,73,81,7,7,7,5,4,0.54,39,39,42,17
hadoop-common-project/hadoop-auth/src/main/java/org/apache/hadoop/security/authentication/server/KerberosAuthenticationHandler.java,2,2,2,1,21,0,15,6,3,0,5,12,12,12,4,12,0,1,2,9,359,22,217,82,130,120,102,135,69,66,10,10,12,1,2,0.55,31,31,35,12
hadoop-common-project/hadoop-auth/src/main/java/org/apache/hadoop/security/authentication/server/LdapAuthenticationHandler.java,2,2,2,1,15,1,12,2,2,2,7,13,13,11,5,13,0,5,0,8,339,40,210,85,117,91,103,133,65,68,6,6,10,1,2,0.43,29,29,34,13
hadoop-common-project/hadoop-auth/src/main/java/org/apache/hadoop/security/authentication/server/MultiSchemeAuthenticationHandler.java,2,2,2,1,12,0,10,1,1,0,5,9,9,9,3,9,0,0,1,8,210,22,137,71,65,51,60,84,49,35,5,5,5,4,3,0.37,18,18,18,12
hadoop-common-project/hadoop-auth/src/main/java/org/apache/hadoop/security/authentication/server/PseudoAuthenticationHandler.java,1,1,1,1,13,0,6,7,1,0,4,9,9,9,2,9,0,1,1,7,200,19,80,41,30,101,37,54,33,21,5,5,6,5,3,1.26,15,15,16,13
hadoop-common-project/hadoop-auth/src/main/java/org/apache/hadoop/security/authentication/server/package-info.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,2,5,5,0,20,3,3,3,0,0,0,0,0,0,4,0,0,0,0
hadoop-common-project/hadoop-auth/src/main/java/org/apache/hadoop/security/authentication/util/AuthToken.java,1,1,1,1,12,0,6,5,1,3,8,15,15,12,6,15,0,2,2,11,253,25,131,53,73,97,75,99,50,49,5,5,6,1,2,0.74,23,23,29,15
hadoop-common-project/hadoop-auth/src/main/java/org/apache/hadoop/security/authentication/util/CertificateUtil.java,4,4,4,1,32,1,23,8,1,1,2,1,1,0,0,1,0,0,0,1,66,5,36,20,21,25,23,27,19,8,4,4,4,1,2,0.69,4,4,4,1
hadoop-common-project/hadoop-auth/src/main/java/org/apache/hadoop/security/authentication/util/FileSignerSecretProvider.java,2,2,2,1,10,0,9,0,1,0,0,4,4,4,2,4,0,0,0,4,84,11,56,28,24,17,25,35,21,14,6,6,6,1,3,0.3,9,9,9,4
hadoop-common-project/hadoop-auth/src/main/java/org/apache/hadoop/security/authentication/util/KerberosName.java,2,2,2,1,14,0,11,3,4,9,7,22,22,13,11,22,10,0,0,12,445,37,294,89,170,114,138,201,78,123,8,8,11,5,4,0.39,59,59,64,26
hadoop-common-project/hadoop-auth/src/main/java/org/apache/hadoop/security/authentication/util/KerberosUtil.java,2,2,2,1,12,0,9,3,2,15,5,26,26,11,2,26,8,3,0,15,454,34,284,110,146,138,139,199,99,100,6,6,6,3,3,0.49,60,60,68,30
hadoop-common-project/hadoop-auth/src/main/java/org/apache/hadoop/security/authentication/util/RandomSignerSecretProvider.java,1,1,1,1,6,0,4,2,1,0,0,3,3,3,1,3,0,0,1,2,56,8,26,16,7,23,14,18,12,6,1,1,1,1,0,0.88,3,3,3,3
hadoop-common-project/hadoop-auth/src/main/java/org/apache/hadoop/security/authentication/util/RolloverSignerSecretProvider.java,1,1,1,1,8,0,5,2,2,0,1,9,10,10,4,10,0,0,4,6,144,12,75,37,27,57,35,49,28,21,3,3,3,1,2,0.76,13,13,13,9
