JavaFile,CatchQuantity,CatchSLOC,CatchLOC,OverCatchAntiPattern,AbortAndOvercatch,CatchAndReturnNull,CatchAndDoNothing,CatchGeneric,DummyHandler,LogAndReturnNull,MultiLineLog,NestedTry,RelyingOnGetCause,IncompleteImplementation,DestructiveWrapping,CatchRecoverability
hadoop-common-project/hadoop-annotations/src/main/java/org/apache/hadoop/classification/tools/IncludePublicAnnotationsJDiffDoclet.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hadoop-common-project/hadoop-annotations/src/main/java/org/apache/hadoop/classification/tools/ExcludePrivateAnnotationsJDiffDoclet.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hadoop-common-project/hadoop-annotations/src/main/java/org/apache/hadoop/classification/tools/ExcludePrivateAnnotationsStandardDoclet.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hadoop-common-project/hadoop-annotations/src/main/java/org/apache/hadoop/classification/tools/RootDocProcessor.java,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1
hadoop-common-project/hadoop-annotations/src/main/java/org/apache/hadoop/classification/tools/package-info.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hadoop-tools/hadoop-archive-logs/src/main/java/org/apache/hadoop/tools/HadoopArchiveLogs.java,5,11,14,1,1,0,0,4,0,0,2,2,0,0,0,5
hadoop-tools/hadoop-archive-logs/src/main/java/org/apache/hadoop/tools/HadoopArchiveLogsRunner.java,1,5,5,1,1,0,0,1,0,0,0,0,0,0,0,1
hadoop-tools/hadoop-archive-logs/src/test/java/org/apache/hadoop/tools/TestHadoopArchiveLogs.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hadoop-tools/hadoop-archive-logs/src/test/java/org/apache/hadoop/tools/TestHadoopArchiveLogsRunner.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hadoop-tools/hadoop-archives/src/main/java/org/apache/hadoop/tools/HadoopArchives.java,6,11,11,1,0,0,0,5,0,0,0,0,0,0,0,6
hadoop-tools/hadoop-archives/src/test/java/org/apache/hadoop/tools/TestHadoopArchives.java,2,0,2,0,0,0,2,2,0,0,0,1,0,0,0,2
hadoop-common-project/hadoop-auth/src/main/java/org/apache/hadoop/security/authentication/client/AuthenticationException.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hadoop-common-project/hadoop-auth/src/main/java/org/apache/hadoop/security/authentication/client/Authenticator.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hadoop-common-project/hadoop-auth/src/main/java/org/apache/hadoop/security/authentication/client/KerberosAuthenticator.java,5,6,6,0,0,0,0,3,0,0,0,1,0,0,0,5
hadoop-common-project/hadoop-auth/src/main/java/org/apache/hadoop/security/authentication/client/AuthenticatedURL.java,2,3,4,0,0,0,0,2,0,0,0,0,0,0,0,2
hadoop-common-project/hadoop-auth/src/main/java/org/apache/hadoop/security/authentication/client/ConnectionConfigurator.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hadoop-common-project/hadoop-auth/src/main/java/org/apache/hadoop/security/authentication/client/PseudoAuthenticator.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hadoop-common-project/hadoop-auth/src/main/java/org/apache/hadoop/security/authentication/server/AuthenticationHandlerUtil.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hadoop-common-project/hadoop-auth/src/main/java/org/apache/hadoop/security/authentication/server/HttpConstants.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hadoop-common-project/hadoop-auth/src/main/java/org/apache/hadoop/security/authentication/server/MultiSchemeAuthenticationHandler.java,1,2,2,0,0,0,0,1,1,0,0,0,0,0,0,1
hadoop-common-project/hadoop-auth/src/main/java/org/apache/hadoop/security/authentication/server/AuthenticationHandler.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hadoop-common-project/hadoop-auth/src/main/java/org/apache/hadoop/security/authentication/server/AuthenticationToken.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hadoop-common-project/hadoop-auth/src/main/java/org/apache/hadoop/security/authentication/server/KerberosAuthenticationHandler.java,4,4,4,0,0,0,0,2,0,0,0,1,0,0,0,4
hadoop-common-project/hadoop-auth/src/main/java/org/apache/hadoop/security/authentication/server/LdapAuthenticationHandler.java,3,2,3,0,0,0,1,2,0,0,0,0,0,0,0,3
hadoop-common-project/hadoop-auth/src/main/java/org/apache/hadoop/security/authentication/server/package-info.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hadoop-common-project/hadoop-auth/src/main/java/org/apache/hadoop/security/authentication/server/CompositeAuthenticationHandler.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hadoop-common-project/hadoop-auth/src/main/java/org/apache/hadoop/security/authentication/server/PseudoAuthenticationHandler.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hadoop-common-project/hadoop-auth/src/main/java/org/apache/hadoop/security/authentication/server/AltKerberosAuthenticationHandler.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
